Rank,Name,Points
1889,bgreezy96,"8,382"
1890,darkforce100,"8,379"
1891,EGordon,"8,372"
1892,manunited23,"8,371"
1893,thechovanone,"8,367"
1894,steveje,"8,366"
1895,tendoreezy,"8,365"
1896,bjarz,"8,364"
1897,TheDogSays,"8,359"
1898,epasauce,"8,356"
1899,querb,"8,349"
1900,Xorc1st,"8,346"
1901,Mizikal,"8,345"
1902,zakarimi,"8,345"
1903,shark1983,"8,344"
1904,Hoosierdaddy23,"8,338"
1905,discofunk,"8,336"
1906,ravedown,"8,332"
1907,Datrashman13,"8,331"
1908,tidda,"8,331"
1909,bigred23111,"8,331"
1910,hcbert01,"8,319"
1911,Tjwilson42,"8,311"
1912,pfjets,"8,308"
1913,tipandpick,"8,307"
1914,demay99,"8,301"
1915,drommordare,"8,300"
1916,Subclaviansteel,"8,298"
1917,chris360xx,"8,297"
1918,gobblegobble77,"8,291"
1919,degenerate777,"8,291"
1920,eazy4lyfe,"8,287"
1921,bobbyv02,"8,287"
1922,stawho,"8,286"
1923,Rrich68,"8,285"
1924,wildcatz97,"8,283"
1925,youngkaiser740,"8,283"
1926,Tmoneyzz,"8,273"
1927,Piratesfan6,"8,266"
1928,rotoreverend,"8,263"
1929,mckaygod,"8,262"
1930,convict0515,"8,261"
1931,kingjerm,"8,261"
1932,CRANDY5,"8,257"
1933,mgrossetto44,"8,256"
1934,dannygold77,"8,251"
1935,Djpaulmixn,"8,248"
1936,WilliamPU2003,"8,248"
1937,mjgarand,"8,248"
1938,Wdoubleuw,"8,236"
1939,Giants100,"8,233"
1940,metzykid23,"8,219"
1941,Aleeka,"8,217"
1942,jwgrinder,"8,209"
1943,jterryn,"8,202"
1944,hlyght10,"8,201"
1945,Oh_216Zealot_iO,"8,200"
1946,BIF,"8,198"
1947,nevs29044,"8,187"
1948,BeckPTLC,"8,183"
1949,DCSTEEL2811,"8,182"
1950,dkline333,"8,181"
1951,busaj,"8,181"
1952,Phillix,"8,176"
1953,whodat2,"8,166"
1954,Bozzdawg5,"8,159"
1955,ck88,"8,156"
1956,krtbu87,"8,155"
1957,jdelsas,"8,151"
1958,Djnoni25,"8,141"
1959,HayGator,"8,140"
1960,BIGB,"8,136"
1961,dqdqnyg,"8,133"
1962,Rookie2442,"8,133"
1963,cjhopkins07,"8,130"
1964,wolf79,"8,126"
1965,mackd101,"8,123"
1966,SeaDonk,"8,111"
1967,migthetig,"8,101"
1968,bryonlee75,"8,100"
1969,Bpoit11,"8,100"
1970,infinite420,"8,092"
1971,ExcitableOne,"8,091"
1972,cmac17554,"8,090"
1973,jac3600,"8,079"
1974,ishx,"8,072"
1975,shocka97,"8,067"
1976,IHATEPANTS,"8,065"
1977,chrannens,"8,058"
1978,czalavary89,"8,054"
1979,Bushmon,"8,052"
1980,brodybrobro,"8,051"
1981,richnmiller,"8,049"
1982,Rizzo100,"8,045"
1983,edbulldawg,"8,043"
1984,StonyRomo,"8,042"
1985,paver,"8,038"
1986,brewtah,"8,027"
1987,sirpsychosexy,"8,027"
1988,evanofthejungle,"8,024"
1989,valdez_ulysses,"8,024"
1990,Meyers1032,"8,023"
1991,careymahoney,"8,021"
1992,TheDeadline,"8,018"
1993,daveinchi1975,"8,012"
1994,Orfelia,"8,009"
1995,hurler47,"8,006"
1996,MitchCumstein89,"7,994"
1997,SportsWiseGuy,"7,990"
1998,firemedicpat,"7,982"
1999,Djt1230,"7,981"
2000,lisapumariega,"7,973"
2001,Mulletkilla,"7,971"
2002,Malikg187,"7,967"
2003,craigfu,"7,964"
2004,tbird05,"7,958"
2005,Zachrob1,"7,952"
2006,jeg06,"7,950"
2007,draftwiz,"7,949"
2008,Stallion33,"7,940"
2009,LinkSinc,"7,940"
2010,ckwinnings,"7,937"
2011,tommygmets86,"7,935"
2012,hommyt,"7,927"
2013,staceinyaface2,"7,925"
2014,BRan14,"7,924"
2015,Millz81,"7,921"
2016,ajwillms,"7,920"
2017,AcR,"7,917"
2018,manek,"7,913"
2019,Jcicc,"7,906"
2020,seabie123,"7,901"
2021,mastermind2016,"7,899"
2022,whiskeytango1,"7,895"
2023,clabrie1,"7,894"
2024,cBraund,"7,893"
2025,frizzo419,"7,892"
2026,a10lbsac,"7,891"
2027,xiaogou,"7,888"
2028,dwostrel,"7,884"
2029,kfiott13,"7,883"
2030,Hunter82,"7,880"
2031,jjc717,"7,874"
2032,dedlata,"7,873"
2033,ripsewell,"7,869"
2034,nacky,"7,868"
2035,Jamie578,"7,863"
2036,kngof9ex,"7,862"
2037,gavdj,"7,860"
2038,ghidorah,"7,860"
2039,whatsluck,"7,852"
2040,kniels44,"7,850"
2041,eadydan,"7,849"
2042,alofty4,"7,849"
2043,Jaredbeafore,"7,842"
2044,popeml24,"7,839"
2045,crazzychet,"7,838"
2046,rockleeroy,"7,828"
2047,arobinson033,"7,828"
2048,Chasem0007,"7,815"
2049,Darby1000,"7,814"
2050,Malakes94,"7,799"
2051,Pompdiggy,"7,799"
2052,BallZaks,"7,795"
2053,meesta,"7,795"
2054,Themuffinman127,"7,790"
2055,chingching,"7,790"
2056,omygodwin,"7,786"
2057,koedaddy,"7,779"
2058,clarkb17,"7,774"
2059,Duncaroo,"7,772"
2060,Koolaide2013,"7,762"
2061,ElCaliente1,"7,752"
2062,shims3,"7,752"
2063,winsomelosemost,"7,750"
2064,dcianek,"7,747"
2065,NickySats,"7,742"
2066,floydian80,"7,742"
2067,Magic57,"7,741"
2068,Jg3qw,"7,740"
2069,iTzTLo,"7,734"
2070,flip4flop,"7,732"
2071,mtschmidt84,"7,730"
2072,chadslaw21,"7,725"
2073,gator25,"7,722"
2074,HoldTheBaby,"7,722"
2075,Mekong83,"7,711"
2076,mgualtieri,"7,698"
2077,somethingfresh,"7,695"
2078,cemrick83,"7,695"
2079,Armando28,"7,695"
2080,goon,"7,692"
2081,huynguyen26,"7,686"
2082,Jbdutto21,"7,685"
2083,pukkaloop,"7,685"
2084,Jcrooks03,"7,676"
2085,kriemersma,"7,675"
2086,Dan21085,"7,674"
2087,tfed1,"7,671"
2088,clavinniu,"7,670"
2089,Bpl21,"7,665"
2090,bswanson303,"7,664"
2091,plally10,"7,663"
2092,ceezeeman,"7,663"
2093,nlwrdb23,"7,660"
2094,leib0039,"7,659"
2095,mweidner2782,"7,658"
2096,IronMonkey415,"7,651"
2097,joeld_81,"7,648"
2098,LucasDellabate,"7,644"
2099,Wynston731,"7,641"
2100,BlarneyBoys,"7,626"
2101,Nelswhit12,"7,624"
2102,sixers1212,"7,620"
2103,crads,"7,617"
2104,Rpa2329,"7,613"
2105,steveospeak,"7,603"
2106,ncampbell1030,"7,602"
2107,DiegoKokomo,"7,600"
2108,Mp4242,"7,598"
2109,bowens1984,"7,596"
2110,reboteking1,"7,594"
2111,smalhot1,"7,593"
2112,nbalive99,"7,592"
2113,daneydaney,"7,592"
2114,chiefjustICE06,"7,583"
2115,dcexpress,"7,583"
2116,BuriedAscend,"7,579"
2117,kreck,"7,572"
2118,RustyNutz,"7,568"
2119,boss1010,"7,565"
2120,ChaosM83,"7,563"
2121,raygo,"7,552"
2122,fabjayowe,"7,550"
2123,heel15,"7,550"
2124,roto718,"7,546"
2125,Horseracer1,"7,543"
2126,Davidd0726,"7,543"
2127,stuppyk,"7,540"
2128,Elz24,"7,540"
2129,GimmieDatW2,"7,537"
2130,Losoway,"7,534"
2131,jcbtrb,"7,533"
2132,chrisl8nlds,"7,532"
2133,dmiller10nc,"7,528"
2134,Tslats,"7,525"
2135,NUkidintown,"7,520"
2136,nrberkeley,"7,509"
2137,LifeJackit,"7,508"
2138,feardragonx,"7,507"
2139,Ben919,"7,506"
2140,hamptonm03,"7,501"
2141,ur1ndanger,"7,494"
2142,DrEvil1996,"7,492"
2143,6foot2by245,"7,491"
2144,tmcgee09,"7,488"
2145,DNutini,"7,488"
2146,bearsssssss,"7,488"
2147,jhorn03,"7,487"
2148,Boopscoop4,"7,481"
2149,kzaha,"7,478"
2150,jonathan83,"7,475"
2151,gemartin,"7,472"
2152,jaf0009,"7,471"
2153,Stanitsas21,"7,469"
2154,Gus_Chiggins,"7,468"
2155,WCHprime,"7,465"
2156,thegoldenboy086,"7,445"
2157,Knautzt,"7,443"
2158,Tweezer847,"7,436"
2159,UtesfanSLC,"7,435"
2160,Burzerkers,"7,435"
2161,jekin685,"7,434"
2162,daviskg8,"7,434"
2163,psufans2,"7,429"
2164,quimoestealth,"7,427"
2165,Colinemtp,"7,427"
2166,AThrougHZ,"7,425"
2167,boohaa,"7,425"
2168,eugene521,"7,422"
2169,beastmode11,"7,420"
2170,bbrig17,"7,418"
2171,piJoe,"7,417"
2172,CHAPMONEY31,"7,415"
2173,liondog,"7,414"
2174,narcocop,"7,414"
2175,mrlocke1,"7,410"
2176,Atnorac,"7,408"
2177,Trevrod2000,"7,407"
2178,mood77,"7,405"
2179,bigpots23,"7,398"
2180,AKDog47,"7,398"
2181,haiti1225,"7,397"
2182,Banaments,"7,395"
2183,Reiners5,"7,394"
2184,Taxman,"7,393"
2185,Slipshutz,"7,392"
2186,ice1952,"7,391"
2187,garomoney23,"7,388"
2188,ftakj,"7,386"
2189,BomberFD,"7,382"
2190,wolf_of_fantasy,"7,377"
2191,MileHigher100,"7,376"
2192,love2lyns,"7,373"
2193,AdamLevin22,"7,373"
2194,Smokeboy,"7,371"
2195,kb32dawgs,"7,370"
2196,Fluffhead78,"7,369"
2197,glee31,"7,369"
2198,superfargo,"7,365"
2199,Slyman,"7,364"
2200,111seabass111,"7,363"
2201,Slah,"7,356"
2202,Tremack3,"7,356"
2203,mrichard2183,"7,355"
2204,tee2green428,"7,355"
2205,SnowShark,"7,353"
2206,fmsutphin,"7,349"
2207,luke_d,"7,345"
2208,DocPeanut,"7,344"
2209,zacha19,"7,343"
2210,vandammewj,"7,339"
2211,Jefftree,"7,339"
2212,giaccarino,"7,330"
2213,smmoran1,"7,327"
2214,Zachdaddy,"7,320"
2215,neilsanjay,"7,317"
2216,ghostcougar,"7,300"
2217,Mudskipper24,"7,298"
2218,ThaBigKat,"7,290"
2219,Abbigail09,"7,283"
2220,snafuinmd,"7,283"
2221,steelers7879,"7,280"
2222,youngblood,"7,279"
2223,darko3131,"7,275"
2224,cz4sheezy,"7,271"
2225,Aniesdad,"7,268"
2226,farmertc,"7,266"
2227,mcluchey21,"7,265"
2228,frogman,"7,261"
2229,jamesknsy,"7,259"
2230,cyork01,"7,257"
2231,jonathan627,"7,256"
2232,drewbos11,"7,246"
2233,durssy,"7,243"
2234,wafic,"7,242"
2235,alix64,"7,242"
2236,jjhalsey,"7,239"
2237,mtamburri922,"7,237"
2238,jruzek,"7,236"
2239,triplejway,"7,231"
2240,mamowrimo,"7,228"
2241,amarkham,"7,225"
2242,wingedmoon,"7,223"
2243,tvegas40,"7,220"
2244,piffffffffff,"7,213"
2245,soifasoif,"7,210"
2246,slingshot_88,"7,208"
2247,relay20,"7,206"
2248,brandon8428,"7,204"
2249,thewogshow,"7,203"
2250,naten,"7,202"
2251,MoMo662,"7,201"
2252,Traeko,"7,197"
2253,icecase88,"7,191"
2254,maxeernst,"7,177"
2255,dickyj1969,"7,176"
2256,uscsteve,"7,173"
2257,thomasg20,"7,171"
2258,EnglishPea,"7,160"
2259,FanDualFred,"7,160"
2260,TheImmortalGoud,"7,159"
2261,beltzandrew,"7,158"
2262,UFswagga352,"7,154"
2263,Killerbrew1,"7,148"
2264,smutpeddlers,"7,148"
2265,mpendleton,"7,141"
2266,soccer4life1028,"7,137"
2267,btnotwn,"7,137"
2268,coli,"7,132"
2269,BADiDOC,"7,131"
2270,Juiceski34,"7,128"
2271,Strategist73020,"7,124"
2272,SomethingSpectacular,"7,123"
2273,ryanpayton,"7,122"
2274,popefiction,"7,115"
2275,TheFantasyBros,"7,105"
2276,BattleAxe357,"7,105"
2277,Fantasygurudrew,"7,105"
2278,RyFo18,"7,103"
2279,bbrookie9,"7,102"
2280,gmccarthy4,"7,099"
2281,Thecommish,"7,098"
2282,lwel21,"7,097"
2283,martymilk,"7,091"
2284,Headre3000,"7,090"
2285,Thoflich,"7,089"
2286,blaker6niner,"7,087"
2287,MisterJ,"7,087"
2288,RussH,"7,084"
2289,jmclean77,"7,082"
2290,chrisn024,"7,078"
2291,deez1233,"7,072"
2292,rmthawk64,"7,071"
2293,camby41,"7,067"
2294,Hirolr33,"7,067"
2295,Luckydad32,"7,052"
2296,captainohio,"7,045"
2297,Foolsgold,"7,044"
2298,pwt1981,"7,044"
2299,Jpgrenier,"7,044"
2300,zepga1,"7,043"
2301,tiltstickels,"7,041"
2302,rupert822,"7,040"
2303,G1212,"7,032"
2304,Alen254,"7,026"
2305,stinkycat32,"7,026"
2306,tamasterson10,"7,024"
2307,zpa1989,"7,021"
2308,scottyflatstix,"7,012"
2309,Thelock1,"7,007"
2310,princetoor,"7,006"
2311,Lucano,"7,005"
2312,4Horsemen,"7,004"
2313,tratow,"7,003"
2314,jlehner23,"6,999"
2315,mlkmoney,"6,996"
2316,Lkline78,"6,996"
2317,oukusfbos,"6,993"
2318,phillymafioso,"6,992"
2319,Trout_N_Out,"6,990"
2320,seahawksfangreg,"6,989"
2321,SgtKyle,"6,988"
2322,jciconte,"6,986"
2323,venus44,"6,985"
2324,Jackboots,"6,983"
2325,roholman09,"6,973"
2326,raymowatt,"6,972"
2327,falintonjr,"6,971"
2328,Jomousmc,"6,969"
2329,daddy608,"6,967"
2330,Whynot138,"6,967"
2331,Arbo604,"6,965"
2332,Paulhara,"6,961"
2333,Jerryfish11,"6,956"
2334,redsox024,"6,955"
2335,zline34,"6,954"
2336,tomo73,"6,953"
2337,jpjk1lla,"6,949"
2338,eaglesftbll7,"6,947"
2339,mr19683,"6,946"
2340,ltjimdangle9,"6,945"
2341,casualdfs,"6,945"
2342,Barbarian,"6,939"
2343,8MileAllstars,"6,939"
2344,varietee,"6,937"
2345,Scamprn,"6,937"
2346,reisinj6,"6,934"
2347,brenos92,"6,931"
2348,LotteryDiscountz,"6,929"
2349,brittinghamt,"6,927"
2350,fantasybender,"6,916"
2351,zimerman72,"6,911"
2352,abesmi1431,"6,908"
2353,Misterfantasy1,"6,905"
2354,future213,"6,904"
2355,jdwellin2391,"6,903"
2356,jswimmer,"6,902"
2357,petersirie,"6,902"
2358,hotlunch1,"6,901"
2359,Silverboy88p,"6,901"
2360,Dfsking23,"6,896"
2361,JayCabay,"6,894"
2362,jarredsc7,"6,887"
2363,shooberto,"6,887"
2364,miamimike,"6,885"
2365,dpospish,"6,884"
2366,VatosLocos,"6,884"
2367,aklingse,"6,879"
2368,eKing,"6,869"
2369,danieln31,"6,867"
2370,Razorronnie,"6,864"
2371,dkallday,"6,864"
2372,bigflyy,"6,858"
2373,doublesuicides,"6,853"
2374,sweeptheleg,"6,853"
2375,jmbwngfn,"6,851"
2376,cowboyron33,"6,848"
2377,soupy,"6,846"
2378,fmarriott22,"6,845"
2379,DEWNCANES,"6,845"
2380,y2knonsense,"6,844"
2381,Msmith3033,"6,836"
2382,lk2000,"6,833"
2383,zwright,"6,830"
2384,PeteTheGreek,"6,830"
2385,Roxy,"6,823"
2386,footballa629,"6,821"
2387,jms1990,"6,820"
2388,jwall1288,"6,820"
2389,bigchrislip,"6,813"
2390,Braine24,"6,812"
2391,tamarack,"6,812"
2392,PBR_United,"6,808"
2393,kevinw1013,"6,807"
2394,bgator22,"6,806"
2395,ailesSPORTS,"6,805"
2396,Dshady1,"6,802"
2397,jhfc,"6,800"
2398,nxtwrldchamp,"6,800"
2399,healwrecker,"6,796"
2400,twilkstl,"6,795"
2401,superbuckwild,"6,784"
2402,luxuriousdusti,"6,784"
2403,leroystabbins,"6,784"
2404,Malkamania71,"6,783"
2405,bbbomb,"6,781"
2406,bobbysessions,"6,772"
2407,Skeans33,"6,771"
2408,HogWild,"6,763"
2409,dinkpuppy,"6,759"
2410,bradholda,"6,759"
2411,tarheelsfan012,"6,757"
2412,DJESQUIRE,"6,757"
2413,Elitest,"6,754"
2414,Bellanca,"6,751"
2415,ej28405,"6,750"
2416,letsgobuffalo,"6,750"
2417,mkjensen22,"6,741"
2418,kalani91,"6,735"
2419,cbesch41,"6,733"
2420,erich425,"6,726"
2421,WHKO,"6,725"
2422,bobbylight88,"6,720"
2423,mbern000,"6,719"
2424,anogis,"6,715"
2425,Rgoodnight23,"6,714"
2426,Skins79,"6,714"
2427,mgz32,"6,713"
2428,Imawina77,"6,710"
2429,dwoo12,"6,710"
2430,Majorrock,"6,707"
2431,ags80,"6,706"
2432,Lafan310,"6,702"
2433,kennyd,"6,701"
2434,jpm2275,"6,701"
2435,morgk031,"6,701"
2436,jacktors,"6,699"
2437,Radar022,"6,698"
2438,bradton23,"6,696"
2439,negrojesus,"6,693"
2440,willyroto,"6,692"
2441,MedicineMan,"6,692"
2442,Creezly,"6,691"
2443,Fduca86,"6,689"
2444,garnes222,"6,688"
2445,ando526,"6,683"
2446,jewcup,"6,682"
2447,mbauler,"6,682"
2448,WingsOfPastrami,"6,680"
2449,JonnyTrueLove,"6,679"
2450,hds1986,"6,675"
