Rank,Name,Points
305,cgib34,"31,227"
306,afwx2002,"31,187"
307,darcmaniluk,"31,089"
308,siccjay,"30,994"
309,Shaner1,"30,966"
310,FalkRoss,"30,949"
311,schmalz5,"30,945"
312,PhoneSurgeons,"30,835"
313,Bigo1,"30,726"
314,donnybasbl,"30,717"
315,brutalmaster,"30,695"
316,ATLSoulchild,"30,656"
317,swedishchef,"30,649"
318,LihaiAg06,"30,625"
319,sboyerii,"30,542"
320,elicopterboy,"30,527"
321,old_T,"30,514"
322,foofighters1977,"30,387"
323,Enlightenmint,"30,354"
324,chizzle17,"29,931"
325,Rayrock215,"29,919"
326,q80minouma,"29,876"
327,Thebigtizzle,"29,800"
328,lvsmanhole,"29,687"
329,oarena,"29,678"
330,qutgnt,"29,648"
331,dictator_teddy,"29,588"
332,Scorpio71,"29,564"
333,heibs22,"29,543"
334,JayWilly,"29,518"
335,RamboFantasySports,"29,362"
336,smitty42,"29,192"
337,naapstermaan,"29,158"
338,ebjosic,"29,076"
339,JayJigga,"29,069"
340,ClevelandPhil,"28,946"
341,drafthero2015,"28,935"
342,eppy12588,"28,916"
343,zshoom,"28,911"
344,Keith3101,"28,905"
345,Cuddy120,"28,834"
346,thinair,"28,628"
347,blackout8,"28,621"
348,homercles,"28,320"
349,Reggiesrun,"28,299"
350,superstars92,"28,295"
351,a_birdie_a_day,"28,244"
352,brianguy49er,"28,134"
353,chitownfrenze,"28,103"
354,Danwise,"28,083"
355,mypoorjets,"27,997"
356,kglenn2986,"27,986"
357,mblaylock10,"27,847"
358,rwalkersc,"27,813"
359,TheTakeOVER,"27,649"
360,broncs4sb,"27,604"
361,bleedgreen92,"27,481"
362,colinwdrew,"27,477"
363,newynewstrom,"27,392"
364,bluestem89,"27,340"
365,Knocturnal,"27,326"
366,Yolkix,"27,326"
367,Runj,"27,203"
368,goners,"27,187"
369,smckeown,"27,147"
370,g_ryan,"27,085"
371,mrhaha,"27,046"
372,fdapo,"27,008"
373,chetames,"26,933"
374,CashMonet,"26,822"
375,Deagan,"26,715"
376,Loughy,"26,707"
377,zachj,"26,570"
378,jimdole,"26,497"
379,chad001,"26,492"
380,IamPGM,"26,413"
381,Zieg30,"26,394"
382,Turf_War,"26,322"
383,dukedog71,"26,285"
384,kfalik,"26,270"
385,ektdar,"26,232"
386,donkshow,"26,218"
387,zeechamp,"26,171"
388,marcwdc,"26,137"
389,Voltzwagon,"26,100"
390,kcchiefsfan73,"26,073"
391,polskamorda,"26,058"
392,whiterock,"26,037"
393,Frasig80,"26,020"
394,carolucy,"25,992"
395,tlav85,"25,967"
396,Kcjhawk3,"25,948"
397,deejones49,"25,803"
398,TheFFOracle,"25,764"
399,Pinkunicorn,"25,752"
400,rvmpj10,"25,670"
401,soobv,"25,474"
402,Loubk,"25,434"
403,sterno11178,"25,413"
404,deathinvoker,"25,401"
405,JaWalrusRuffles,"25,354"
406,Yukerboy,"25,349"
407,alexanderbricks,"25,333"
408,compdoctor,"25,201"
409,ATeam,"25,192"
410,MFord108,"25,150"
411,stv1313,"25,128"
412,kkrogs01,"24,941"
413,Bjollyag123,"24,927"
414,spundin,"24,925"
415,brewcrew8,"24,873"
416,bringemvaught,"24,867"
417,PhillyPhan007,"24,830"
418,magicp18,"24,812"
419,mdviox,"24,788"
420,cdestela,"24,787"
421,btwice80,"24,670"
422,klhbui,"24,542"
423,graceshawn,"24,528"
424,Bolwellb,"24,484"
425,neal1483,"24,455"
426,mcarthuw,"24,435"
427,nexus,"24,389"
428,jlowery73,"24,372"
429,JayKooks,"24,365"
430,sambo58,"24,342"
431,fediganattheshore,"24,338"
432,eritas,"24,139"
433,ubrcuilnsa,"24,125"
434,jr1886,"24,092"
435,Hadude09,"24,062"
436,MickyD10970,"24,059"
437,geemerboy,"24,046"
438,Dunnzilla,"23,951"
439,motownmauler,"23,928"
440,Halman,"23,885"
441,jseating,"23,812"
442,Meddy1523,"23,741"
443,chrisduffy543,"23,730"
444,Altai,"23,709"
445,Skipbidder,"23,696"
446,spondulix01,"23,667"
447,ronnymor2,"23,662"
448,carmo456,"23,646"
449,Mangone,"23,616"
450,isithim28,"23,597"
451,Bjhaughey,"23,570"
452,916sactown916,"23,539"
453,kingtrout,"23,524"
454,thrtyftj,"23,496"
455,bjk121,"23,483"
456,bigmel911,"23,475"
457,wwhodatxliv,"23,447"
458,UNCLERICO778,"23,376"
459,RoofingMan,"23,248"
460,rcolosimo5,"23,246"
461,mc1111684,"23,214"
462,jeld33,"23,137"
463,nsilver1,"22,953"
464,macjohnny83,"22,893"
465,baloguna,"22,856"
466,coming_up_short,"22,841"
467,ktrautve,"22,790"
468,Daj5mg,"22,750"
469,bpoe13,"22,739"
470,tjmontan,"22,728"
471,Spaventoso,"22,713"
472,leonem,"22,670"
473,jabronimeister,"22,634"
474,clayton24,"22,629"
475,chargers1221,"22,619"
476,klink,"22,527"
477,csmaniac,"22,487"
478,mpasqurell,"22,443"
479,coqburn,"22,438"
480,daniel5r,"22,385"
481,saczilla,"22,358"
482,Hubeihammer,"22,349"
483,mooseHAMMER78,"22,288"
484,KaiBang,"22,271"
485,kraz83,"22,258"
486,alwayspicking1,"22,205"
487,GHO2,"22,194"
488,stevietpfl,"22,155"
489,radthad954,"22,113"
490,Guzzi52314,"22,062"
491,Nashers,"22,040"
492,BleedORANGE,"22,009"
493,rolltidechamps,"22,009"
494,schmoe330,"21,934"
495,rendulix,"21,868"
496,ptskills,"21,843"
497,willyp133,"21,780"
498,Redsfan9,"21,770"
499,PunchingDonkeys,"21,762"
500,Hazmat,"21,757"
501,BigLosingBear,"21,733"
502,fhlbtrs,"21,695"
503,EggsAnyStyle,"21,684"
504,kawhisenberg,"21,652"
505,achenbach1,"21,615"
506,ffganzinator,"21,589"
507,JMToWin,"21,513"
508,ihaveareputation,"21,478"
509,GoMaizeGoBlue,"21,469"
510,jkidd1084,"21,466"
511,mikemc,"21,460"
512,thehumanraindelay,"21,450"
513,jayboo17,"21,391"
514,LuckyPapa,"21,349"
515,craftylefty,"21,339"
516,kypark01,"21,316"
517,thepickler,"21,316"
518,Baumers,"21,300"
519,emac,"21,228"
520,jpligon75,"21,208"
521,nsmafia,"21,110"
522,jgallagher80,"21,091"
523,msiler10,"21,081"
524,prezvxk,"21,042"
525,rex21023,"21,009"
526,pokerlogic,"20,997"
527,forcewithme,"20,989"
528,Bay101,"20,959"
529,mbaggia08,"20,933"
530,doller7,"20,918"
531,dakimbell,"20,869"
532,walkoff9,"20,865"
533,thx4urchips,"20,850"
534,hotmajik,"20,839"
535,bsize30,"20,836"
536,Jcaljr88,"20,834"
537,Milo741,"20,814"
538,swashington1353,"20,797"
539,ElwaysArmy,"20,785"
540,Buckingham21,"20,753"
541,BigPasta,"20,737"
542,bonuscash,"20,713"
543,wilco999,"20,712"
544,smallANDflaccid,"20,678"
545,jegro21,"20,672"
546,cjack51,"20,663"
547,cjs5555,"20,659"
548,bklucky13,"20,650"
549,myslinme,"20,627"
550,marcfortunato5,"20,614"
551,Mlz29,"20,560"
552,ThebigLombardi,"20,490"
553,Nikobellic99,"20,488"
554,DraftDemon,"20,459"
555,dabramahbull,"20,457"
556,JoeyG113,"20,333"
557,rickgrimes,"20,316"
558,jun15ior,"20,232"
559,jdtrey22,"20,159"
560,shaneomiz,"20,155"
561,seducer,"20,149"
562,no1cdib,"20,144"
563,neogamer,"20,139"
564,stubbysooner77,"20,131"
565,Hatorade,"20,105"
566,Gqinxs,"20,080"
567,gliu87,"20,076"
568,leafs93,"20,071"
569,newdeebar,"20,065"
570,joeyengland98,"20,063"
571,Woodyi,"20,061"
572,supermanb8,"20,056"
573,ShooterMcGavin,"20,055"
574,deputykaro,"19,955"
575,proshares,"19,945"
576,cammc15,"19,942"
577,blizair,"19,931"
578,thehazyone,"19,926"
579,droxxodia,"19,899"
580,laurent1128,"19,896"
581,OCNRA,"19,893"
582,DHowade,"19,847"
583,Unico10,"19,838"
584,mjchan89,"19,837"
585,Charhen,"19,811"
586,albrechp,"19,672"
587,BeltWieldindad,"19,665"
588,pbarrese13,"19,661"
589,Smackalicious,"19,631"
590,srn828,"19,595"
591,ccdavisiv,"19,585"
592,Snoop15,"19,542"
593,JmoFoShoSUCKA,"19,536"
594,mamandus,"19,533"
595,bogey09,"19,510"
596,TheHaba,"19,508"
597,burgerrob13,"19,505"
598,jonconnington,"19,450"
599,Bignick79,"19,430"
600,String1971,"19,428"
601,atfrost,"19,428"
602,srk8987,"19,428"
603,buckstratford,"19,415"
604,Deelove3,"19,392"
605,ElDiablo666,"19,389"
606,1greatbuyz,"19,357"
607,Jfud81,"19,356"
608,MikeMineo,"19,286"
609,floridabulldogs,"19,178"
610,unclemonster,"19,164"
611,ChadPol5,"19,164"
612,jer4940,"19,134"
613,captcell,"19,106"
614,dlgentry25,"19,064"
615,jtbergerson,"19,064"
616,BeL0WaB0Ve,"19,053"
617,cappadon,"19,045"
618,darrow23,"19,035"
619,cuba4ever,"19,021"
620,jmammon,"19,015"
621,dlogreen,"18,974"
622,buckdirty,"18,947"
623,guindi989,"18,941"
624,brkymf32,"18,899"
625,tubbysmith,"18,867"
626,Eejaym,"18,867"
627,Rockinryno,"18,851"
